,Address,Brand,Price,Self,Store,Si
2664,경기 화성시 비봉면 화성로 1589-1,현대오일뱅크,1549,N,현대오일뱅크㈜직영 비봉현대주유소,화성시
2665,경기 화성시 봉담읍 삼천병마로 1346,현대오일뱅크,1549,Y,현대오일뱅크㈜직영 봉담IC셀프주유소,화성시
2666,경기 화성시 봉담읍 삼천병마로 1133,GS칼텍스,1549,Y,(주)태원에너지 화풍주유소,화성시
2667,경기 화성시 매송면 푸른들판로 1937,S-OIL,1555,Y,매송주유소,화성시
2668,경기 화성시 장안면 버들로 1244,현대오일뱅크,1555,Y,석포주유소,화성시
2669,경기 화성시 우정읍 남양만로 454,SK에너지,1555,N,대경TLS(주)대경주유소,화성시
2670,경기 화성시 정남면 정남동로 145,현대오일뱅크,1557,N,푸른하늘주유소,화성시
2671,경기 화성시 송산면 화성로 288,S-OIL,1557,N,뉴화성주유소,화성시
2672,경기 화성시 화성로 362,GS칼텍스,1557,Y,수노을주유소,화성시
2673,경기 화성시 남양읍 남양로 409,GS칼텍스,1558,N,신남스타주유소,화성시
2674,경기 화성시 팔탄면 버들로 1509,현대오일뱅크,1558,N,덕성주유소,화성시
2675,경기 화성시 팔탄면 3.1만세로 726,현대오일뱅크,1558,N,해천주유소,화성시
2677,경기 화성시 정조로 139 (반정동),알뜰주유소,1558,N,815알뜰주유소,화성시
2678,경기 화성시 향남읍 발안로 451,현대오일뱅크,1559,N,동오주유소,화성시
2679,경기 화성시 매송면 서해안고속도로 315-1,알뜰(ex),1559,Y,매송주유소(목포방향),화성시
2682,경기 화성시 팔탄면 버들로 1231,SK에너지,1559,N,SK서근주유소,화성시
2684,경기도 화성시 동탄순환대로 731(영천동),SK에너지,1559,Y,대양석유(주)동탄드림주유소,화성시
2685,경기 화성시 매송면 서해안고속도로 316-1,알뜰(ex),1559,Y,매송주유소(서울방향),화성시
2686,경기 화성시 서신면 제부로 724,GS칼텍스,1560,N,광평주유소,화성시
2687,경기 화성시 서신면 매화3길 10,현대오일뱅크,1560,N,서신주유소,화성시
2688,경기 화성시 여울로 114,GS칼텍스,1564,Y,지에스칼텍스(주) 동탄푸른숲주유소,화성시
2689,경기 화성시 향남읍 은행나무로 627,SK에너지,1564,N,기영주유소,화성시
2690,경기 화성시 비봉면 양노로 14,SK에너지,1565,N,역구내주유소,화성시
2691,경기 화성시 남양성지로 17,S-OIL,1567,Y,화성태하에너지,화성시
2692,경기 화성시 양감면 은행나무로 389,GS칼텍스,1568,N,거홍주유소 (주),화성시
